Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100u","CP_Radial_D6.3mm_P2.50mm",111.760000,-45.720000,0.000000,top
"C2","100n","C_0805_2012Metric",78.100000,-73.649999,0.000000,top
"J1","Pico_Left","PinSocket_1x20_P2.54mm_Vertical",58.420000,-64.130000,90.000000,top
"J2","Pico_Right","PinSocket_1x20_P2.54mm_Vertical",58.420000,-81.910000,90.000000,top
"J3","RELAY_MOD","PinHeader_1x06_P2.54mm_Vertical",78.100000,-37.020000,90.000000,top
"J7","5V_EXT","PinHeader_1x02_P2.54mm_Vertical",110.100000,-58.020000,0.000000,top
"LED1","Red","LED_0805_2012Metric",54.100000,-56.020000,90.000000,top
"LED2","Red","LED_0805_2012Metric",70.100000,-56.020000,90.000000,top
"LED3","Red","LED_0805_2012Metric",86.100000,-56.020000,90.000000,top
"LED4","Red","LED_0805_2012Metric",102.100000,-56.020000,90.000000,top
"Q1","2N7002","SOT-23",57.100000,-51.020000,0.000000,top
"Q2","2N7002","SOT-23",73.100000,-51.020000,0.000000,top
"Q3","2N7002","SOT-23",89.100000,-51.020000,0.000000,top
"Q4","2N7002","SOT-23",105.100000,-51.020000,0.000000,top
"R1","100","R_0805_2012Metric",52.100000,-48.020000,90.000000,top
"R2","100","R_0805_2012Metric",68.100000,-48.020000,90.000000,top
"R3","100","R_0805_2012Metric",84.100000,-48.020000,90.000000,top
"R4","100","R_0805_2012Metric",100.100000,-48.020000,90.000000,top
"R5","10k","R_0805_2012Metric",59.100000,-53.020000,90.000000,top
"R6","10k","R_0805_2012Metric",75.100000,-53.020000,90.000000,top
"R7","10k","R_0805_2012Metric",91.100000,-53.020000,90.000000,top
"R8","10k","R_0805_2012Metric",107.100000,-53.020000,90.000000,top
"R9","330","R_0805_2012Metric",56.100000,-56.020000,90.000000,top
"R10","330","R_0805_2012Metric",72.100000,-56.020000,90.000000,top
"R11","330","R_0805_2012Metric",88.100000,-56.020000,90.000000,top
"R12","330","R_0805_2012Metric",104.100000,-56.020000,90.000000,top
"R13","330","R_0805_2012Metric",49.100000,-42.020000,90.000000,top
"R14","330","R_0805_2012Metric",65.100000,-42.020000,90.000000,top
"R15","330","R_0805_2012Metric",81.100000,-42.020000,90.000000,top
"R16","330","R_0805_2012Metric",97.100000,-42.020000,90.000000,top
"U2","PC817","DIP-4_W7.62mm",49.100000,-45.020000,0.000000,top
"U3","PC817","DIP-4_W7.62mm",65.100000,-45.020000,0.000000,top
"U4","PC817","DIP-4_W7.62mm",81.100000,-45.020000,0.000000,top
"U5","PC817","DIP-4_W7.62mm",97.100000,-45.020000,0.000000,top
