Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,52.320000mm,-35.560000mm,0.000000,top
C2,100n,C_0805_2012Metric,52.320000mm,-51.320000mm,0.000000,top
C3,100n,C_0805_2012Metric,58.320000mm,-48.320000mm,0.000000,top
D1,1N4148,D_SOD-123,68.320000mm,-53.320000mm,0.000000,top
Q1,2N7002,SOT-23,68.320000mm,-48.320000mm,0.000000,top
R1,4.7k,R_0805_2012Metric,37.320000mm,-45.320000mm,0.000000,top
R2,4.7k,R_0805_2012Metric,39.320000mm,-51.320000mm,0.000000,top
R3,4.7k,R_0805_2012Metric,44.320000mm,-45.320000mm,0.000000,top
R4,4.7k,R_0805_2012Metric,47.320000mm,-51.320000mm,0.000000,top
R5,4.7k,R_0805_2012Metric,32.320000mm,-48.320000mm,0.000000,top
R6,100,R_0805_2012Metric,62.320000mm,-45.320000mm,0.000000,top
R7,10k,R_0805_2012Metric,62.320000mm,-51.320000mm,0.000000,top
