Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,52.320000mm,-35.560000mm,0.000000,top
C2,100n,C_0805_2012Metric,52.320000mm,-51.320000mm,0.000000,top
C3,100n,C_0805_2012Metric,58.320000mm,-48.320000mm,0.000000,top
D1,1N4148,D_SOD-123,68.320000mm,-53.320000mm,0.000000,top
J1,Pico_Left,PinSocket_1x20_P2.54mm_Vertical,24.190000mm,-39.430000mm,90.000000,top
J2,Pico_Right,PinSocket_1x20_P2.54mm_Vertical,24.190000mm,-57.210000mm,90.000000,top
J3,Grove_I2C0,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,34.040000mm,-22.860000mm,0.000000,top
J4,Grove_I2C1,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,47.040000mm,-22.860000mm,0.000000,top
J5,ADC0,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,26.450000mm,-69.320000mm,0.000000,top
J6,ADC1,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,40.450000mm,-69.320000mm,0.000000,top
J7,ADC2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,54.450000mm,-69.320000mm,0.000000,top
J8,1-Wire,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,62.040000mm,-22.860000mm,0.000000,top
J9,Fan,TerminalBlock_bornier-2_P5.08mm,66.450000mm,-69.320000mm,0.000000,top
Q1,2N7002,SOT-23,68.320000mm,-48.320000mm,0.000000,top
R1,4.7k,R_0805_2012Metric,37.320000mm,-45.320000mm,0.000000,top
R2,4.7k,R_0805_2012Metric,39.320000mm,-51.320000mm,0.000000,top
R3,4.7k,R_0805_2012Metric,44.320000mm,-45.320000mm,0.000000,top
R4,4.7k,R_0805_2012Metric,47.320000mm,-51.320000mm,0.000000,top
R5,4.7k,R_0805_2012Metric,32.320000mm,-48.320000mm,0.000000,top
R6,100,R_0805_2012Metric,62.320000mm,-45.320000mm,0.000000,top
R7,10k,R_0805_2012Metric,62.320000mm,-51.320000mm,0.000000,top
