Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",32.000000,-25.000000,0.000000,top
"C2","100n","C_0805_2012Metric",32.000000,-31.000000,0.000000,top
"C3","100n","C_0805_2012Metric",38.000000,-28.000000,0.000000,top
"D1","1N4148","D_SOD-123",48.000000,-33.000000,0.000000,top
"J1","Pico_Left","PinSocket_1x20_P2.54mm_Vertical",3.870000,-19.110000,90.000000,top
"J2","Pico_Right","PinSocket_1x20_P2.54mm_Vertical",3.870000,-36.890000,90.000000,top
"J3","Grove_I2C0","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",14.000000,-7.000000,0.000000,top
"J4","Grove_I2C1","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",27.000000,-7.000000,0.000000,top
"J5","ADC0","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",6.130000,-49.000000,0.000000,top
"J6","ADC1","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",20.130000,-49.000000,0.000000,top
"J7","ADC2","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",34.130000,-49.000000,0.000000,top
"J8","1-Wire","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",42.000000,-7.000000,0.000000,top
"J9","Fan","TerminalBlock_bornier-2_P5.08mm",46.130000,-49.000000,0.000000,top
"Q1","2N7002","SOT-23",48.000000,-28.000000,0.000000,top
"R1","4.7k","R_0805_2012Metric",17.000000,-25.000000,0.000000,top
"R2","4.7k","R_0805_2012Metric",19.000000,-31.000000,0.000000,top
"R3","4.7k","R_0805_2012Metric",24.000000,-25.000000,0.000000,top
"R4","4.7k","R_0805_2012Metric",27.000000,-31.000000,0.000000,top
"R5","4.7k","R_0805_2012Metric",12.000000,-28.000000,0.000000,top
"R6","100","R_0805_2012Metric",42.000000,-25.000000,0.000000,top
"R7","10k","R_0805_2012Metric",42.000000,-31.000000,0.000000,top
